 Manis,tetradactyla,Long-tailed,pangolin,1.4,26.5,0.146128036,1.423245874
 Manis,tricuspis,Tree,pangolin,1.4,32,0.146128036,1.505149978
 Bradypus,variegatus,Brown-throated,sloth,3.8,79.4,0.579783597,1.899820502
 Choloepus,hoffmanni,Hoffmann's,sloth,3.8,69.8,0.579783597,1.843855423
 Alouatta,palliata,Mantled,howler,4.7,237.9,0.672097858,2.376394442
 Aotus,trivirgatus,Three-striped,night monkey,0.82,51.2,-0.086186148,1.709269961
 Arctocebus,calabarensis,Calabar,angwantibo,0.21,15.2,-0.677780705,1.181843588
 Callithrix,jacchus,Common,marmoset,0.19,17.6,-0.721246399,1.245512668
 Callithrix,pygmaea,Pygmy,marmoset,0.12,13.6,-0.920818754,1.133538908
 Cercopithecus,mitis,Blue,monkey,8.5,392.7,0.929418926,2.594060901
 Cheirogaleus,medius,Fat-tailed,dwarf lemur,0.3,22.6,-0.522878745,1.354108439
 Colobus,guereza,Mantled,guereza,10.4,344.8,1.017033339,2.537567257
 Erythrocebus,patas,Pata,monkey,3,123.6,0.477121255,2.092018471
 Eulemur,fulvus,Common,brown lemur,2.3,86.4,0.361727836,1.936513742
 Euoticus,elegantulus,Southern,needleclawed bush baby,0.26,25,-0.585026652,1.397940009
 Galago,moholi,Mohol,bushbaby,0.17,5.9,-0.769551079,0.770852012
 Galago,senegalensis,Senegal,bushbaby,0.17,15.9,-0.769551079,1.201397124
 Galagoides,zanzibaricus,Zanzibar,bushbaby,0.064,6.9,-1.193820026,0.838849091
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
